link_index,pokemon1_name,pokemon2_name,pokemon1_move,pokemon2_move,pokemon1_move_weight,pokemon2_move_weight,edge_weight,pokemon1_move_TTK,pokemon2_move_TTK,edge_TTK
26,bulbasaur,seel,giga-drain,icicle-spear,1.0129151291512914,0.5636363636363637,0.44927876551492774,1,2.0,1
27,bulbasaur,shellder,giga-drain,icicle-spear,2.753731343283582,0.7515151515151515,2.0022161917684307,1,2.0,1
28,bulbasaur,onix,grass-knot,earthquake,3.81042654028436,0.5194805194805194,3.2909460208038404,1,2.0,1
29,bulbasaur,krabby,giga-drain,return,2.753731343283582,0.6883116883116883,2.065419654971894,1,2.0,1
30,bulbasaur,kingler,giga-drain,return,1.3984063745019921,0.8268398268398268,0.5715665476621653,1,2.0,1
31,bulbasaur,voltorb,giga-drain,return,0.7398190045248869,0.2727272727272727,0.4670917317976142,2,4.0,2
32,bulbasaur,electrode,giga-drain,return,0.47126436781609193,0.38095238095238093,0.090311986863711,3,3.0,0
33,bulbasaur,exeggcute,sludge-bomb,psychic,1.160919540229885,0.948051948051948,0.21286759217793705,1,2.0,1
34,bulbasaur,cubone,giga-drain,fire-punch,1.4564315352697095,0.5627705627705628,0.8936609724991467,1,2.0,1
35,bulbasaur,marowak,giga-drain,fire-punch,0.9482758620689655,0.8138528138528138,0.1344230482161517,2,2.0,0
36,bulbasaur,rhyhorn,giga-drain,earthquake,3.2890365448504983,0.8484848484848485,2.4405516963656497,1,2.0,1
37,bulbasaur,rhydon,giga-drain,heat-crash,2.1794871794871793,1.9393939393939394,0.24009324009323985,1,1.0,0
38,bulbasaur,chansey,power-whip,flamethrower,0.48268330733229325,0.4329004329004329,0.04978287443186036,3,3.0,0
39,bulbasaur,tangela,sludge-bomb,confusion,1.2177121771217712,0.5281385281385281,0.689573648983243,1,2.0,1
40,bulbasaur,horsea,giga-drain,ice-beam,2.753731343283582,0.70995670995671,2.0437746333268723,1,2.0,1
41,bulbasaur,seadra,giga-drain,ice-beam,1.5239043824701195,0.9004329004329005,0.623471482037219,1,2.0,1
42,bulbasaur,goldeen,giga-drain,return,1.5194805194805194,0.47619047619047616,1.0432900432900434,1,3.0,2
43,bulbasaur,seaking,giga-drain,ice-beam,0.8222591362126246,0.6666666666666666,0.15559246954595796,2,2.0,0
44,bulbasaur,staryu,giga-drain,ice-beam,1.6343283582089552,0.70995670995671,0.9243716482522452,1,2.0,1
45,bulbasaur,magikarp,giga-drain,bounce,3.455801104972376,0.08454545454545455,3.3712556504269213,1,12.0,11
46,bulbasaur,ditto,giga-drain,,0.7658227848101266,,0.7658227848101266,2,,-2
47,bulbasaur,omanyte,giga-drain,ice-beam,3.1137440758293837,0.8658008658008658,2.247943210028518,1,2.0,1
48,bulbasaur,omastar,giga-drain,ice-beam,1.9537366548042705,1.0649350649350648,0.8888015898692057,1,1.0,0
49,bulbasaur,kabuto,giga-drain,leech-life,3.8059701492537314,0.6493506493506493,3.156619499903082,1,2.0,1
50,bulbasaur,kabutops,giga-drain,psycho-cut,2.103448275862069,1.0216450216450217,1.0818032542170473,1,1.0,0
51,bulbasaur,dratini,outrage,outrage,0.684304932735426,0.5666666666666667,0.11763826606875938,2,2.0,0
52,caterpie,magikarp,electroweb,hydro-pump,0.4773480662983426,0.3194805194805195,0.1578675468178231,3,4.0,1
53,caterpie,ditto,bug-bite,,0.24050632911392406,,0.24050632911392406,5,,-5
54,voltorb,squirtle,thunderbolt,water-spout,0.9039301310043668,0.8054298642533937,0.09850026675097312,2,2.0,0
55,voltorb,caterpie,thunderbolt,bug-bite,0.9523809523809523,0.248868778280543,0.7035121741004093,2,5.0,3
56,voltorb,metapod,thunderbolt,bug-bite,0.8091286307053942,0.20361990950226244,0.6055087212031318,2,5.0,3
57,voltorb,weedle,thunderbolt,bug-bite,0.995475113122172,0.27601809954751133,0.7194570135746606,2,4.0,2
58,voltorb,kakuna,thunderbolt,bug-bite,0.8441558441558441,0.22171945701357465,0.6224363871422695,2,5.0,3
59,voltorb,pidgey,thunderbolt,return,1.4389140271493213,0.5475113122171946,0.8914027149321266,1,2.0,1
60,voltorb,pidgeotto,thunderbolt,return,0.9325842696629213,0.6787330316742082,0.2538512379887131,2,2.0,0
61,voltorb,spearow,thunderbolt,return,1.5475113122171946,0.6787330316742082,0.8687782805429864,1,2.0,1
62,voltorb,nidoran-f,thunderbolt,earth-power,0.5776892430278885,0.5610859728506787,0.01660327017720975,2,2.0,0
63,voltorb,nidoran-m,thunderbolt,drill-run,0.6223175965665236,0.6190045248868778,0.003313071679645785,2,2.0,0
64,voltorb,zubat,thunderbolt,leech-life,1.3167420814479638,0.4343891402714932,0.8823529411764706,1,3.0,2
65,voltorb,psyduck,thunderbolt,surf,1.033195020746888,0.5882352941176471,0.444959726629241,1,2.0,1
66,voltorb,poliwag,thunderbolt,earth-power,1.3167420814479638,0.5610859728506787,0.755656108597285,1,2.0,1
67,voltorb,abra,foul-play,psychic,1.2356020942408377,0.8733031674208145,0.3622989268200232,1,2.0,1
68,voltorb,tentacool,wild-charge,sludge-wave,0.831447963800905,0.5158371040723982,0.3156108597285068,2,2.0,0
69,voltorb,slowpoke,electro-ball,earthquake,1.1962616822429906,0.9411764705882353,0.2550852116547553,1,2.0,1
70,voltorb,doduo,thunderbolt,return,1.5071090047393365,0.8868778280542986,0.6202311766850379,1,2.0,1
71,voltorb,seel,thunderbolt,drill-run,0.7084870848708487,0.5212669683257919,0.18722011654505677,2,2.0,0
72,voltorb,shellder,thunderbolt,liquidation,1.9402985074626866,0.6018099547511312,1.3384885527115555,1,2.0,1
73,voltorb,cloyster,thunderbolt,drill-run,1.107883817427386,0.9203619909502263,0.18752182647715965,1,2.0,1
74,voltorb,krabby,thunderbolt,liquidation,1.9402985074626866,0.8868778280542986,1.053420679408388,1,2.0,1
75,voltorb,exeggcute,signal-beam,giga-drain,1.1494252873563218,0.6990950226244343,0.4503302647318874,1,2.0,1
76,voltorb,koffing,thunderbolt,belch,0.6018099547511312,0.5900452488687783,0.0117647058823529,2,2.0,0
77,voltorb,horsea,thunderbolt,surf,1.9402985074626866,0.6289592760180995,1.311339231444587,1,2.0,1
78,voltorb,seadra,thunderbolt,surf,1.0637450199203187,0.8054298642533937,0.258315155666925,1,2.0,1
79,voltorb,goldeen,thunderbolt,drill-run,1.077922077922078,0.7004524886877829,0.3774695892342951,1,2.0,1
80,voltorb,staryu,thunderbolt,surf,1.1492537313432836,0.6289592760180995,0.520294455325184,1,2.0,1
81,voltorb,magikarp,thunderbolt,hydro-pump,2.43646408839779,0.17375565610859728,2.262708432289193,1,6.0,5
82,voltorb,ditto,thunderbolt,,0.5358649789029536,,0.5358649789029536,2,,-2
83,voltorb,omanyte,thunderbolt,earth-power,1.09478672985782,1.0226244343891402,0.0721622954686798,1,1.0,0
84,voltorb,kabuto,thunderbolt,liquidation,1.328358208955224,0.7058823529411765,0.6224758560140474,1,2.0,1
85,electrode,charmander,thunderbolt,overheat,0.7534246575342466,0.40459770114942534,0.34882695638482125,2,3.0,1
86,electrode,charmeleon,thunderbolt,overheat,0.5291828793774319,0.5088122605363985,0.020370618841033417,2,2.0,0
87,electrode,squirtle,thunderbolt,water-spout,1.205240174672489,0.5095785440613027,0.6956616306111864,1,2.0,1
88,electrode,wartortle,thunderbolt,water-spout,0.8918918918918919,0.6206896551724138,0.2712022367194781,2,2.0,0
89,electrode,caterpie,thunderbolt,bug-bite,1.2727272727272727,0.16475095785440613,1.1079763148728665,1,7.0,6
90,electrode,metapod,electro-ball,bug-bite,1.4356846473029046,0.13026819923371646,1.305416448069188,1,8.0,7
91,electrode,butterfree,thunderbolt,bug-buzz,0.8850574712643678,0.48659003831417624,0.3984674329501916,2,3.0,1
92,electrode,weedle,thunderbolt,bug-bite,1.330316742081448,0.1839080459770115,1.1464086961044364,1,6.0,5
93,electrode,kakuna,electro-ball,bug-bite,1.4978354978354977,0.14942528735632185,1.348410210479176,1,7.0,6
94,electrode,pidgey,thunderbolt,return,1.914027149321267,0.36015325670498083,1.5538738926162863,1,3.0,2
95,electrode,pidgeotto,thunderbolt,return,1.2359550561797752,0.44061302681992337,0.7953420293598519,1,3.0,2
96,electrode,pidgeot,thunderbolt,return,0.8403908794788274,0.5555555555555556,0.2848353239232718,2,2.0,0
97,electrode,rattata,thunderbolt,last-resort,1.0497512437810945,0.5747126436781609,0.47503860010293364,1,2.0,1
98,electrode,spearow,thunderbolt,return,2.076923076923077,0.44061302681992337,1.6363100501031538,1,3.0,2
99,electrode,fearow,thunderbolt,return,1.051660516605166,0.6130268199233716,0.4386336966817944,1,2.0,1
100,electrode,ekans,thunderbolt,earthquake,0.7393364928909952,0.5823754789272031,0.15696101396379214,2,2.0,0
101,electrode,pikachu,return,return,0.4834123222748815,0.2796934865900383,0.20371883568484322,3,4.0,1
102,electrode,nidoran-f,thunderbolt,earth-power,0.7689243027888446,0.3524904214559387,0.41643388133290593,2,3.0,1
103,electrode,nidorina,thunderbolt,stomping-tantrum,0.5480427046263345,0.4521072796934866,0.09593542493284796,2,3.0,1
104,electrode,nidoran-m,thunderbolt,drill-run,0.8283261802575107,0.40689655172413797,0.42142962853337274,2,3.0,1
105,electrode,nidorino,thunderbolt,stomping-tantrum,0.5855513307984791,0.5057471264367817,0.07980420436169744,2,2.0,0
106,electrode,clefairy,electro-ball,moonblast,0.6441281138790036,0.3716475095785441,0.2724806043004595,2,3.0,1
107,electrode,vulpix,thunderbolt,overheat,0.6267281105990783,0.3524904214559387,0.2742376891431396,2,3.0,1
108,electrode,jigglypuff,electro-ball,last-resort,1.1671159029649596,0.4942528735632184,0.6728630294017413,1,3.0,2
109,electrode,zubat,thunderbolt,leech-life,1.751131221719457,0.28735632183908044,1.4637748998803766,1,4.0,3
110,electrode,golbat,thunderbolt,leech-life,0.8350515463917526,0.4367816091954023,0.3982699371963503,2,3.0,1
111,electrode,paras,signal-beam,leech-life,0.8151658767772512,0.5919540229885057,0.22321185378874542,2,2.0,0
112,electrode,venonat,thunderbolt,leech-life,0.5900383141762452,0.4885057471264368,0.1015325670498084,2,3.0,1
113,electrode,diglett,return,earthquake,0.8509316770186336,0.8160919540229885,0.034839722995645084,2,2.0,0
114,electrode,meowth,thunderbolt,last-resort,0.8733031674208145,0.4942528735632184,0.3790502938575961,2,3.0,1
115,electrode,psyduck,thunderbolt,surf,1.3692946058091287,0.3793103448275862,0.9899842609815425,1,3.0,2
116,electrode,golduck,thunderbolt,surf,0.7674418604651163,0.5095785440613027,0.25786331640381366,2,2.0,0
117,electrode,mankey,thunderbolt,earthquake,0.8054298642533937,0.7279693486590039,0.07746051559438982,2,2.0,0
118,electrode,growlithe,thunderbolt,burn-up,0.6573705179282868,0.5747126436781609,0.08265787425012594,2,2.0,0
119,electrode,poliwag,thunderbolt,earth-power,1.751131221719457,0.3524904214559387,1.3986408002635184,1,3.0,2
120,electrode,poliwhirl,thunderbolt,earthquake,1.2177121771217712,0.6206896551724138,0.5970225219493573,1,2.0,1
121,electrode,abra,foul-play,psychic,1.7382198952879582,0.5517241379310345,1.1864957573569237,1,2.0,1
122,electrode,kadabra,foul-play,future-sight,1.0407239819004526,0.6559386973180077,0.3847852845824449,1,2.0,1
123,electrode,machop,electro-ball,earthquake,1.00355871886121,0.7279693486590039,0.2755893702022062,1,2.0,1
124,electrode,bellsprout,tera-blast,giga-drain,0.5767634854771784,0.5,0.07676348547717837,2,2.0,0
125,electrode,tentacool,supercell-slam,sludge-wave,1.2983823529411764,0.32567049808429116,0.9727118548568853,1,4.0,3
126,electrode,tentacruel,supercell-slam,sludge-wave,0.6122093023255814,0.46360153256704983,0.14860776975853152,2,3.0,1
127,electrode,slowpoke,electro-ball,earthquake,2.0,0.6206896551724138,1.3793103448275863,1,2.0,1
128,electrode,slowbro,electro-ball,earthquake,0.9244712990936556,0.6896551724137931,0.2348161266798624,2,2.0,0
129,electrode,magnemite,thunderbolt,tera-blast,0.4031413612565445,0.30268199233716475,0.10045936891937973,3,4.0,1
130,electrode,farfetchd,thunderbolt,last-resort,1.1510204081632653,0.8390804597701149,0.3119399483931504,1,2.0,1
131,electrode,doduo,thunderbolt,return,2.004739336492891,0.5862068965517241,1.418532439941167,1,2.0,1
132,electrode,dodrio,thunderbolt,return,1.103448275862069,0.7241379310344828,0.3793103448275862,1,2.0,1
133,electrode,seel,thunderbolt,drill-run,0.9520295202952029,0.3448275862068966,0.6072019340883064,2,3.0,1
134,electrode,dewgong,thunderbolt,drill-run,0.6261682242990654,0.47586206896551725,0.15030615533354813,2,3.0,1
135,electrode,grimer,electro-ball,poison-jab,0.7308970099667774,0.4367816091954023,0.2941154007713751,2,3.0,1
136,electrode,shellder,thunderbolt,liquidation,2.5970149253731343,0.3946360153256705,2.2023789100474636,1,3.0,2
137,electrode,cloyster,thunderbolt,drill-run,1.4813278008298756,0.6068965517241379,0.8744312491057377,1,2.0,1
138,electrode,gastly,foul-play,sludge-wave,1.144278606965174,0.5632183908045977,0.5810602161605763,1,2.0,1
139,electrode,haunter,foul-play,sludge-wave,0.7619047619047619,0.632183908045977,0.12972085385878485,2,2.0,0
140,electrode,drowzee,foul-play,synchronoise,0.6743295019157088,0.367816091954023,0.30651340996168586,2,3.0,1
141,electrode,krabby,thunderbolt,liquidation,2.5970149253731343,0.578544061302682,2.0184708640704523,1,2.0,1
142,electrode,kingler,thunderbolt,high-horsepower,1.3147410358565736,0.9379310344827587,0.37681000137381493,1,2.0,1
143,electrode,voltorb,tera-blast,tera-blast,0.416289592760181,0.19923371647509577,0.21705587628508524,3,6.0,3
144,electrode,exeggcute,signal-beam,giga-drain,1.5325670498084292,0.4482758620689655,1.0842911877394636,1,3.0,2
145,electrode,koffing,electro-ball,belch,1.0723981900452488,0.37701149425287356,0.6953866957923753,1,3.0,2
146,electrode,chansey,supercell-slam,hyper-voice,0.5133580343213728,0.2413793103448276,0.2719787239765452,2,5.0,3
147,electrode,tangela,signal-beam,giga-drain,0.7970479704797048,0.6609195402298851,0.1361284302498197,2,2.0,0
148,electrode,horsea,thunderbolt,surf,2.5970149253731343,0.3946360153256705,2.2023789100474636,1,3.0,2
149,electrode,seadra,thunderbolt,surf,1.4223107569721116,0.5095785440613027,0.912732212910809,1,2.0,1
150,electrode,goldeen,thunderbolt,drill-run,1.4285714285714286,0.4551724137931034,0.9733990147783251,1,3.0,2
151,electrode,seaking,thunderbolt,drill-run,0.7674418604651163,0.5931034482758621,0.17433841218925417,2,2.0,0
152,electrode,staryu,thunderbolt,surf,1.537313432835821,0.3946360153256705,1.1426774175101504,1,3.0,2
153,electrode,starmie,thunderbolt,surf,0.8390804597701149,0.5325670498084292,0.30651340996168575,2,2.0,0
154,electrode,scyther,thunderbolt,close-combat,0.8220640569395018,0.5670498084291188,0.255014248510383,2,2.0,0
155,electrode,jynx,foul-play,future-sight,0.7675276752767528,0.6344827586206897,0.1330449166560631,2,2.0,0
156,electrode,magikarp,thunderbolt,hydro-pump,3.248618784530387,0.11264367816091954,3.135975106369467,1,9.0,8
157,electrode,gyarados,thunderbolt,earthquake,1.1601208459214503,1.0574712643678161,0.10264958155363413,1,1.0,0
158,electrode,ditto,thunderbolt,,0.7215189873417721,,0.7215189873417721,2,,-2
159,electrode,omanyte,electro-ball,earth-power,1.947867298578199,0.6513409961685823,1.2965263024096167,1,2.0,1
160,electrode,omastar,thunderbolt,earth-power,0.9181494661921709,0.7969348659003831,0.12121460029178777,2,2.0,0
161,electrode,kabuto,thunderbolt,liquidation,1.7761194029850746,0.46360153256704983,1.312517870418025,1,3.0,2
162,electrode,kabutops,thunderbolt,liquidation,0.9885057471264368,0.6245210727969349,0.3639846743295019,2,2.0,0
163,electrode,dratini,tera-blast,outrage,0.43946188340807174,0.3808429118773946,0.05861897153067713,3,3.0,0
164,exeggcute,squirtle,giga-drain,ice-beam,1.1986899563318778,0.6360153256704981,0.5626746306613797,1,2.0,1
165,exeggcute,wartortle,giga-drain,ice-beam,0.9034749034749034,0.7739463601532567,0.12952854332164676,2,2.0,0
166,exeggcute,caterpie,psychic,bug-bite,1.0173160173160174,0.5977011494252874,0.41961486789073,1,2.0,1
167,exeggcute,metapod,psychic,bug-bite,0.8630705394190872,0.4827586206896552,0.380311918729432,2,3.0,1
168,exeggcute,weedle,psychic,bug-bite,2.1312217194570136,0.6666666666666666,1.464555052790347,1,2.0,1
169,exeggcute,kakuna,psychic,bug-bite,1.8051948051948052,0.5517241379310345,1.2534706672637708,1,2.0,1
170,exeggcute,pidgey,psychic,air-slash,0.7647058823529411,0.7396551724137932,0.02505070993914793,2,2.0,0
171,exeggcute,rattata,giga-drain,u-turn,1.0522388059701493,0.7049808429118773,0.34725796305827195,1,2.0,1
172,exeggcute,spearow,psychic,u-turn,0.8280542986425339,0.735632183908046,0.09242211473448791,2,2.0,0
173,exeggcute,sandshrew,giga-drain,leech-life,1.941908713692946,1.4942528735632183,0.4476558401297277,1,1.0,0
174,exeggcute,nidoran-f,psychic,sludge-bomb,1.2310756972111554,0.8160919540229885,0.4149837431881669,1,2.0,1
175,exeggcute,nidoran-m,psychic,sludge-bomb,1.3261802575107295,0.8160919540229885,0.510088303487741,1,2.0,1
176,exeggcute,jigglypuff,sludge-bomb,flamethrower,0.7493261455525606,0.5900383141762452,0.15928783137631541,2,2.0,0
177,exeggcute,zubat,psychic,leech-life,1.3981900452488687,1.0344827586206897,0.36370728662817897,1,1.0,0
178,exeggcute,diglett,giga-drain,sludge-bomb,2.2360248447204967,0.49808429118773945,1.7379405535327572,1,3.0,2
179,exeggcute,dugtrio,giga-drain,foul-play,1.2156398104265402,0.7509578544061303,0.46468195602040996,1,2.0,1
180,exeggcute,meowth,giga-drain,u-turn,0.8755656108597285,0.5977011494252874,0.2778644614344411,2,2.0,0
181,exeggcute,psyduck,giga-drain,signal-beam,1.3817427385892116,1.3026819923371646,0.07906074625204695,1,1.0,0
182,exeggcute,mankey,psychic,u-turn,1.2895927601809956,0.9195402298850575,0.3700525302959381,1,2.0,1
183,exeggcute,poliwag,giga-drain,ice-beam,1.751131221719457,0.5440613026819924,1.2070699190374645,1,2.0,1
184,exeggcute,poliwhirl,giga-drain,ice-beam,1.2287822878228782,0.6360153256704981,0.5927669621523801,1,2.0,1
185,exeggcute,machop,psychic,poison-jab,1.206405693950178,0.5287356321839081,0.6776700617662699,1,2.0,1
186,exeggcute,machoke,psychic,flamethrower,0.7674418604651163,0.6360153256704981,0.1314265347946182,2,2.0,0
187,exeggcute,bellsprout,psychic,leech-life,1.5435684647302905,1.4942528735632183,0.04931559116707218,1,1.0,0
188,exeggcute,geodude,giga-drain,fire-punch,4.235294117647059,0.49808429118773945,3.7372098264593197,1,3.0,2
189,exeggcute,graveler,giga-drain,flamethrower,2.8685258964143427,0.5900383141762452,2.2784875822380974,1,2.0,1
190,exeggcute,golem,grass-knot,steamroller,1.9136212624584719,1.5540229885057473,0.3595982739527246,1,1.0,0
191,exeggcute,slowpoke,giga-drain,signal-beam,1.205607476635514,0.9195402298850575,0.2860672467504566,1,2.0,1
192,exeggcute,grimer,psychic,belch,0.8770764119601329,0.8643678160919541,0.01270859586817874,2,2.0,0
193,exeggcute,shellder,giga-drain,ice-beam,2.5970149253731343,0.5900383141762452,2.006976611196889,1,2.0,1
194,exeggcute,onix,grass-knot,brutal-swing,3.5829383886255926,0.26053639846743293,3.3224019901581596,1,4.0,3
195,exeggcute,krabby,giga-drain,x-scissor,2.5970149253731343,1.318007662835249,1.2790072625378852,1,1.0,0
196,exeggcute,cubone,giga-drain,flamethrower,1.3817427385892116,0.5440613026819924,0.8376814359072192,1,2.0,1
197,exeggcute,marowak,giga-drain,flamethrower,0.896551724137931,0.6360153256704981,0.26053639846743293,2,2.0,0
198,exeggcute,koffing,psychic,belch,1.2895927601809956,1.1586206896551725,0.13097207052582305,1,1.0,0
199,exeggcute,rhyhorn,giga-drain,megahorn,3.1096345514950166,1.1478927203065132,1.9617418311885033,1,1.0,0
200,exeggcute,rhydon,giga-drain,megahorn,2.051282051282051,1.6521072796934866,0.3991747715885645,1,1.0,0
201,exeggcute,horsea,giga-drain,signal-beam,2.5970149253731343,1.3793103448275863,1.217704580545548,1,1.0,0
202,exeggcute,goldeen,giga-drain,megahorn,1.4415584415584415,0.9547892720306513,0.48676916952779015,1,2.0,1
203,exeggcute,staryu,giga-drain,signal-beam,1.544776119402985,1.3793103448275863,0.16546577457539868,1,1.0,0
204,exeggcute,magikarp,giga-drain,hydro-pump,3.2569060773480665,0.08505747126436781,3.1718486060836986,1,12.0,11
205,exeggcute,ditto,giga-drain,,0.7215189873417721,,0.7215189873417721,2,,-2
206,exeggcute,eevee,giga-drain,shadow-ball,0.5438247011952191,0.5287356321839081,0.015089069011311018,2,2.0,0
207,exeggcute,omanyte,giga-drain,ice-beam,2.943127962085308,1.003831417624521,1.9392965444607868,1,1.0,0
208,exeggcute,omastar,giga-drain,ice-beam,1.8256227758007118,1.2337164750957854,0.5919063007049263,1,1.0,0
209,exeggcute,kabuto,giga-drain,leech-life,3.582089552238806,1.5862068965517242,1.995882655687082,1,1.0,0
210,exeggutor,bulbasaur,future-sight,sludge-bomb,1.8181818181818181,0.6253776435045317,1.1928041746772864,1,2.0,1
211,exeggutor,ivysaur,future-sight,sludge-bomb,1.3701149425287358,0.7341389728096677,0.6359759697190681,1,2.0,1
212,exeggutor,venusaur,future-sight,sludge-bomb,0.9887043189368772,0.879154078549849,0.10955024038702821,2,2.0,0
213,exeggutor,charmander,earthquake,overheat,1.4337899543378996,0.6743202416918429,0.7594697126460567,1,2.0,1
214,exeggutor,charmeleon,earthquake,overheat,0.980544747081712,0.8483383685800605,0.1322063785016515,2,2.0,0
215,exeggutor,squirtle,giga-drain,ice-beam,2.1812227074235806,0.34441087613293053,1.83681183129065,1,3.0,2
216,exeggutor,wartortle,giga-drain,ice-beam,1.6158301158301158,0.4169184290030212,1.1989116868270946,1,3.0,2
217,exeggutor,blastoise,giga-drain,signal-beam,1.12876254180602,0.8580060422960725,0.2707564995099476,1,2.0,1
218,exeggutor,caterpie,future-sight,bug-bite,1.9774891774891776,0.45317220543806647,1.5243169720511112,1,3.0,2
219,exeggutor,metapod,future-sight,bug-bite,1.6763485477178424,0.36253776435045315,1.3138107833673893,1,3.0,2
220,exeggutor,weedle,future-sight,bug-bite,4.137556561085973,0.48942598187311176,3.6481305792128613,1,3.0,2
221,exeggutor,kakuna,future-sight,bug-bite,3.5012987012987016,0.4169184290030212,3.0843802722956806,1,3.0,2
222,exeggutor,beedrill,future-sight,x-scissor,1.3195571955719558,1.3051359516616314,0.0144212439103244,1,1.0,0
223,exeggutor,pidgey,future-sight,brave-bird,1.4805429864253397,0.47678247734138973,1.0037605090839499,1,3.0,2
224,exeggutor,pidgeotto,future-sight,u-turn,0.955805243445693,0.5558912386706949,0.39991400477499806,2,2.0,0
225,exeggutor,rattata,giga-drain,u-turn,1.9104477611940298,0.5317220543806647,1.3787257068133651,1,2.0,1
226,exeggutor,raticate,giga-drain,u-turn,0.9322709163346613,0.7009063444108762,0.23136457192378512,2,2.0,0
227,exeggutor,spearow,future-sight,u-turn,1.6072398190045252,0.5558912386706949,1.0513485803338303,1,2.0,1
228,exeggutor,fearow,future-sight,u-turn,0.8147601476014761,0.7613293051359517,0.05343084246552443,2,2.0,0
229,exeggutor,ekans,future-sight,leech-life,2.2976303317535547,0.9425981873111783,1.3550321444423763,1,2.0,1
230,exeggutor,arbok,future-sight,leech-life,1.3793103448275863,1.3595166163141994,0.0197937285133869,1,1.0,0
231,exeggutor,pikachu,earthquake,signal-beam,1.5639810426540284,0.5800604229607251,0.9839206196933032,1,2.0,1
232,exeggutor,raichu,earthquake,signal-beam,1.0114942528735633,0.9063444108761329,0.10514984199743038,1,2.0,1
233,exeggutor,sandshrew,giga-drain,leech-life,3.529045643153527,1.1238670694864048,2.405178573667122,1,1.0,0
234,exeggutor,sandslash,giga-drain,leech-life,1.9329896907216495,1.4138972809667674,0.5190924097548821,1,1.0,0
235,exeggutor,nidoran-f,future-sight,sludge-bomb,2.3904382470119523,0.44410876132930516,1.9463294856826472,1,3.0,2
236,exeggutor,nidorina,future-sight,sludge-bomb,1.699644128113879,0.552870090634441,1.146774037479438,1,2.0,1
237,exeggutor,nidoqueen,future-sight,sludge-wave,1.0542056074766357,0.7341389728096677,0.32006663466696805,1,2.0,1
238,exeggutor,nidoran-m,future-sight,poison-jab,2.575107296137339,0.45317220543806647,2.1219350906992727,1,3.0,2
